Posicao,Time,Pontos,Jogos,Vitorias,Empates,Derrotas
1,SE Palmeiras,10,4,3,1,0
2,São Paulo FC,10,4,3,1,0
3,SC Corinthians Paulista,7,4,2,1,1
4,EC Bahia,7,3,2,1,0
5,Fluminense FC,7,4,2,1,1
6,CA Paranaense,7,4,2,1,1
7,RB Bragantino,7,4,2,1,1
8,Grêmio FBPA,6,4,2,0,2
9,Chapecoense AF,5,3,1,2,0
10,Mirassol FC,5,3,1,2,0
11,CR Flamengo,4,3,1,1,1
12,Coritiba FBC,4,4,1,1,2
13,Santos FC,4,4,1,1,2
14,Botafogo FR,3,3,1,0,2
15,EC Vitória,3,3,1,0,2
16,Clube do Remo,3,4,0,3,1
17,CA Mineiro,2,4,0,2,2
18,SC Internacional,2,4,0,2,2
19,Cruzeiro EC,2,4,0,2,2
20,CR Vasco da Gama,1,4,0,1,3
